"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TOB2",-1.3193915,8.14720358333333,-6.4352097193165,6.50736049765337e-05,0.0116384459574823,2.14090358853328
"KIAA1432",-0.826819666666665,9.27770566666667,-6.43452887388199,6.51315944497175e-05,0.0116384459574823,2.14005038353555
"PUM2",-0.578922416666666,8.82409820833333,-6.43242648648337,6.53110117227336e-05,0.0116384459574823,2.13741532319956
"PPP1R16A",0.949810833333335,9.09937441666667,6.43078596022082,6.5451383196475e-05,0.0116384459574823,2.13535867924349
"RPS6KA1",1.03799216666667,13.59350225,6.42405078080628,6.60310890751336e-05,0.0116680522910142,2.12691085987201
"GPD1",2.63009863333333,7.50368301666667,6.42081420253704,6.63116285059567e-05,0.0116680522910142,2.1228488323654
"CD1B",5.61773248333333,9.850419425,6.41519846425464,6.68014352829828e-05,0.0116680522910142,2.11579710461037
"ACTN1",1.20554533333334,13.6994146666667,6.41282913249078,6.7009255441073e-05,0.0116680522910142,2.11282048236584
"CIDEB",-1.94599538333333,6.287611025,-6.40806985181497,6.74288087643994e-05,0.0116865221468627,2.1068387651417
"BCS1L",-1.04706725,9.57114395833333,-6.38976497000675,6.9068998269454e-05,0.0117797011198075,2.08380019792634
"EVPLL",2.9291691,4.4783893,6.38892913410245,6.91449097956516e-05,0.0117797011198075,2.08274699881056
"VDR",1.85435358333333,11.080329125,6.38804673523375,6.92251476054511e-05,0.0117797011198075,2.08163501268288
"ITGA4",-2.48979186666667,6.95454506666667,-6.38536487737981,6.9469628161432e-05,0.0117797011198075,2.07825464882431
"FZD8",1.12267956666667,2.90467393333333,6.38280838560971,6.97035449570623e-05,0.0117797011198075,2.07503128628385
"CD302",-2.01268,9.9781775,-6.37891300735694,7.00615990129281e-05,0.0117797011198075,2.07011787423913
"ASB6",0.854483583333336,10.6860682083333,6.37660207242754,7.02749492179079e-05,0.0117797011198075,2.06720190045444
"TMEM117",1.27982991666667,9.12684770833333,6.37366154045423,7.0547435862125e-05,0.0117797011198075,2.06349031758897
"FAM89B",1.44155141666667,13.8943437916667,6.36897477545657,7.09840900929725e-05,0.0117876720799252,2.05757189586816
"GAS5",-1.00014675,9.68223945833333,-6.36661072282093,7.12054450228486e-05,0.0117876720799252,2.05458531527723
"TMEM50B",-0.9696715,10.1479084166667,-6.36090176846664,7.17430621282816e-05,0.0117876720799252,2.04736951110913
"AQP3",4.38758703333334,9.02938206666667,6.35420574454185,7.23792008082224e-05,0.0118448129577631,2.03889978387331
"CPNE8",-1.31302471666667,7.88267275833333,-6.34036236095267,7.3713671206352e-05,0.0120153284066354,2.02136778584254
"INTS3",0.950187333333334,9.01036258333333,6.32748700756447,7.49785920993672e-05,0.0121598793115941,2.00503553084889
"RS1",1.91575693333333,2.94905333333333,6.32533224493048,7.51925539279606e-05,0.0121598793115941,2.00229976585834
"SLC35F3",2.43124171666667,6.44546290833333,6.31163229143928,7.65683690121091e-05,0.0123338130413388,1.98488922535673
"ALG8",0.571366000000002,12.70332225,6.29572972748201,7.81994050919186e-05,0.0125473389201393,1.96464353838551
"OLFM2",1.77915993333333,4.68522103333333,6.29156801383982,7.86323875487497e-05,0.0125677196535115,1.95933884084924
"ZBTB8A",1.65199361666667,6.60618264166667,6.28193910406403,7.96440845214697e-05,0.0126311212965401,1.94705526053348
"CMKLR1",-3.85820981666666,7.04924009166667,-6.27360393779904,8.05311506433285e-05,0.0127226828608668,1.93641064141315
"ABCB9",2.36802796666667,4.5465511,6.26853274358516,8.10760415840101e-05,0.0127596915099801,1.92992914563177
"GPCPD1",1.12636083333333,11.8488601666667,6.25641478578616,8.23942082170232e-05,0.0128685342080701,1.91442520973747
"EPB41L3",-1.58389516666667,11.1062530833333,-6.24774131720323,8.33518249944957e-05,0.0129687862252799,1.90331438278702
"SOCS2",2.74971268333333,3.44352570833333,6.24011439458972,8.42037812264983e-05,0.0130519038402251,1.89353465165003
"PPP1R13B",3.01511201666667,6.46787790833333,6.23470801176915,8.4813360129548e-05,0.013096968348426,1.88659682777888
"PMP22",-2.31124216666666,12.821171,-6.22857125446109,8.55110413377106e-05,0.0131001433837098,1.87871629654207
"FBXW11",0.693831083333335,11.5453539583333,6.22146019811834,8.6327211186448e-05,0.0131001433837098,1.86957737498987
"C7orf57",2.91611658333333,3.36509155833333,6.21913219921535,8.65962221866833e-05,0.0131001433837098,1.86658380905931
"COLEC12",-2.90721433333333,9.04751483333333,-6.21374595444816,8.72220864774087e-05,0.0131001433837098,1.8596544586255
"SIPA1",-0.655164833333333,11.53599775,-6.21234141313865,8.73860873365806e-05,0.0131001433837098,1.85784679626627
"NPDC1",-1.95967983333333,8.24259425,-6.20828271728431,8.78618645095003e-05,0.0131001433837098,1.85262149696639
